State,City,City_Inactive_Date,City_AddTime
CA,HUME,,2018-01-01
CA,HUNTINGTON BEACH,,2018-01-01
CA,HUNTINGTON PARK,,2018-01-01
CA,HURON,,2018-01-01
CA,HYAMPOM,,2018-01-01
CA,HYDESVILLE,,2018-01-01
CA,IDYLLWILD,,2018-01-01
CA,IGO,,2018-01-01
CA,IMPERIAL,,2018-01-01
CA,IMPERIAL BEACH,,2018-01-01
CA,INDEPENDENCE,,2018-01-01
CA,INDIAN WELLS,,2018-01-01
CA,INDIO,,2018-01-01
CA,INGLEWOOD,,2018-01-01
CA,INVERNESS,,2018-01-01
CA,INYOKERN,,2018-01-01
CA,IONE,,2018-01-01
CA,IRVINE,,2018-01-01
CA,ISLETON,,2018-01-01
CA,IVANHOE,,2018-01-01
CA,JACKSON,,2018-01-01
CA,JACUMBA,,2018-01-01
CA,JAMESTOWN,,2018-01-01
CA,JAMUL,,2018-01-01
CA,JANESVILLE,,2018-01-01
CA,JENNER,,2018-01-01
CA,JOHANNESBURG,,2018-01-01
CA,JOLON,,2018-01-01
CA,JOSHUA TREE,,2018-01-01
CA,JULIAN,,2018-01-01
CA,JUNCTION CITY,,2018-01-01
CA,JUNE LAKE,,2018-01-01
CA,KAWEAH,,2018-01-01
CA,KEELER,,2018-01-01
CA,KEENE,,2018-01-01
CA,KELSEYVILLE,,2018-01-01
CA,KENTFIELD,,2018-01-01
CA,KENWOOD,,2018-01-01
CA,KERMAN,,2018-01-01
CA,KERNVILLE,,2018-01-01
CA,KETTLEMAN CITY,,2018-01-01
CA,KEYES,,2018-01-01
CA,KING CITY,,2018-01-01
CA,KINGS BEACH,,2018-01-01
CA,KINGS CANYON NATIONAL PK,,2018-01-01
CA,KINGSBURG,,2018-01-01
CA,KIRKWOOD,,2018-01-01
CA,KIT CARSON,,2018-01-01
CA,KLAMATH,,2018-01-01
CA,KLAMATH RIVER,,2018-01-01
CA,KNEELAND,,2018-01-01
CA,KNIGHTS LANDING,,2018-01-01
CA,KNIGHTSEN,,2018-01-01
CA,KORBEL,,2018-01-01
CA,KYBURZ,,2018-01-01
CA,LA CANADA FLINTRIDGE,,2018-01-01
CA,LA CRESCENTA,,2018-01-01
CA,LA GRANGE,,2018-01-01
CA,LA HABRA,,2018-01-01
CA,LA HONDA,,2018-01-01
CA,LA JOLLA,,2018-01-01
CA,LA MESA,,2018-01-01
CA,LA MIRADA,,2018-01-01
CA,LA PALMA,,2018-01-01
CA,LA PUENTE,,2018-01-01
CA,LA QUINTA,,2018-01-01
CA,LA VERNE,,2018-01-01
CA,LADERA RANCH,,2018-01-01
CA,LAFAYETTE,,2018-01-01
CA,LAGUNA BEACH,,2018-01-01
CA,LAGUNA HILLS,,2018-01-01
CA,LAGUNA NIGUEL,,2018-01-01
CA,LAGUNA WOODS,,2018-01-01
CA,LAGUNITAS,,2018-01-01
CA,LAKE ARROWHEAD,,2018-01-01
CA,LAKE CITY,,2018-01-01
CA,LAKE ELSINORE,,2018-01-01
CA,LAKE FOREST,,2018-01-01
CA,LAKE HUGHES,,2018-01-01
CA,LAKE ISABELLA,,2018-01-01
CA,LAKEHEAD,,2018-01-01
CA,LAKEPORT,,2018-01-01
CA,LAKESHORE,,2018-01-01
CA,LAKESIDE,,2018-01-01
CA,LAKEWOOD,,2018-01-01
CA,LAMONT,,2018-01-01
CA,LANCASTER,,2018-01-01
CA,LANDERS,,2018-01-01
CA,LARKSPUR,,2018-01-01
CA,LATHROP,,2018-01-01
CA,LATON,,2018-01-01
CA,LAWNDALE,,2018-01-01
CA,LAYTONVILLE,,2018-01-01
CA,LE GRAND,,2018-01-01
CA,LEBEC,,2018-01-01
CA,LEE VINING,,2018-01-01
CA,LEGGETT,,2018-01-01
CA,LEMON COVE,,2018-01-01
CA,LEMON GROVE,,2018-01-01
CA,LEMOORE,,2018-01-01
CA,LEWISTON,,2018-01-01
CA,LIKELY,,2018-01-01
CA,LINCOLN,,2018-01-01
CA,LINDEN,,2018-01-01
CA,LINDSAY,,2018-01-01
CA,LITCHFIELD,,2018-01-01
CA,LITTLE LAKE,,2018-01-01
CA,LITTLE RIVER,,2018-01-01
CA,LITTLEROCK,,2018-01-01
CA,LIVE OAK,,2018-01-01
CA,LIVERMORE,,2018-01-01
CA,LIVINGSTON,,2018-01-01
CA,LLANO,,2018-01-01
CA,LOCKEFORD,,2018-01-01
CA,LOCKWOOD,,2018-01-01
CA,LODI,,2018-01-01
CA,LOLETA,,2018-01-01
CA,LOMA LINDA,,2018-01-01
CA,LOMA MAR,,2018-01-01
CA,LOMITA,,2018-01-01
CA,LOMPOC,,2018-01-01
CA,LONE PINE,,2018-01-01
CA,LONG BARN,,2018-01-01
CA,LONG BEACH,,2018-01-01
CA,LOOKOUT,,2018-01-01
CA,LOOMIS,,2018-01-01
CA,LOS ALAMITOS,,2018-01-01
CA,LOS ALAMOS,,2018-01-01
CA,LOS ALTOS,,2018-01-01
CA,LOS ANGELES,,2018-01-01
CA,LOS BANOS,,2018-01-01
CA,LOS GATOS,,2018-01-01
CA,LOS MOLINOS,,2018-01-01
CA,LOS OLIVOS,,2018-01-01
CA,LOS OSOS,,2018-01-01
CA,LOST HILLS,,2018-01-01
CA,LOTUS,,2018-01-01
CA,LOWER LAKE,,2018-01-01
CA,LOYALTON,,2018-01-01
CA,LUCERNE,,2018-01-01
CA,LUCERNE VALLEY,,2018-01-01
CA,LUDLOW,,2018-01-01
CA,LYNWOOD,,2018-01-01
CA,LYTLE CREEK,,2018-01-01
CA,MACDOEL,,2018-01-01
CA,MAD RIVER,,2018-01-01
CA,MADELINE,,2018-01-01
CA,MADERA,,2018-01-01
CA,MADISON,,2018-01-01
CA,MAGALIA,,2018-01-01
CA,MALIBU,,2018-01-01
CA,MAMMOTH LAKES,,2018-01-01
CA,MANCHESTER,,2018-01-01
CA,MANHATTAN BEACH,,2018-01-01
CA,MANTECA,,2018-01-01
CA,MANTON,,2018-01-01
CA,MARCH AIR RESERVE BASE,,2018-01-01
CA,MARICOPA,,2018-01-01
CA,MARINA,,2018-01-01
CA,MARINA DEL REY,,2018-01-01
CA,MARIPOSA,,2018-01-01
